table,Model,L1,L2,L3,L4,L5,L2-L1,L3-L2,L3-L1,L4 wrong agreement rate,L5 wrong agreement rate,Sycophancy,category,claude-opus-4-6,gpt-5.4,Reasoning Quality,Got Lucky,Judge N,Grounded %,Mislead Resistant %,"Correct Label, Wrong Reasoning %",Grounded Correct,Grounded Given Correct,Grounded Count,Groundable Total,Flagged %,Accuracy Seen Before,Accuracy Unseen,Difficulty,N kernels,claude-opus-4-6 accuracy,gpt-5.4 accuracy,memory-bound,latency-bound,compute-bound,occupancy-limited,register-spill
category_breakdown,,,,,,,,,,,,,compute_bound_reference,66.66666666666666,100.0,,,,,,,,,,,,,,,,,,,,,,
category_breakdown,,,,,,,,,,,,,compute_looks_memory,97.27272727272728,93.57798165137615,,,,,,,,,,,,,,,,,,,,,,
category_breakdown,,,,,,,,,,,,,kernelbench_compute_candidate,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
category_breakdown,,,,,,,,,,,,,memory_looks_compute,40.0,0.0,,,,,,,,,,,,,,,,,,,,,,
category_breakdown,,,,,,,,,,,,,occupancy_reference,66.66666666666666,100.0,,,,,,,,,,,,,,,,,,,,,,
category_breakdown,,,,,,,,,,,,,red_herring,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,
category_breakdown,,,,,,,,,,,,,register_spill_reference,66.66666666666666,100.0,,,,,,,,,,,,,,,,,,,,,,
category_breakdown,,,,,,,,,,,,,shared_memory_small_block,66.66666666666666,100.0,,,,,,,,,,,,,,,,,,,,,,
reasoning_quality,claude-opus-4-6,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
reasoning_quality,gpt-5.4,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
reasoning_quality_table,claude-opus-4-6,,,,,,,,,,,,,,,,,58.0,84.48,96.55,0.0,,,,,,,,,,,,,,,,
reasoning_quality_table,gpt-5.4,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
groundedness,claude-opus-4-6,,,,,,,,,,,,,,,,,,,,,12.5,2.52,3.0,24.0,,,,,,,,,,,,
groundedness,gpt-5.4,,,,,,,,,,,,,,,,,,,,,20.0,3.42,4.0,20.0,,,,,,,,,,,,
contamination,claude-opus-4-6,,,,,,,,,,,,,,,,,,,,,,,,,13.33,0.0,76.28,,,,,,,,,
contamination,gpt-5.4,,,,,,,,,,,,,,,,,,,,,,,,,8.52,0.0,72.67,,,,,,,,,
difficulty_calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,3.0,66.67,100.0,,,,,
difficulty_calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hard,54.0,67.26,66.06,,,,,
difficulty_calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,1.0,0.0,0.0,,,,,
per_class_accuracy,claude-opus-4-6 L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6% (37),0.0% (1),0.0% (1),11.1% (18),0.0% (1)
per_class_accuracy,claude-opus-4-6 L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6% (37),100.0% (1),100.0% (1),16.7% (18),100.0% (1)
per_class_accuracy,claude-opus-4-6 L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6% (37),100.0% (1),100.0% (1),5.6% (18),100.0% (1)
per_class_accuracy,claude-opus-4-6 L4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0% (2),0.0% (1),0.0% (0),0.0% (0),0.0% (0)
per_class_accuracy,claude-opus-4-6 L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0% (2),0.0% (1),0.0% (0),0.0% (0),0.0% (0)
per_class_accuracy,gpt-5.4 L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5% (37),0.0% (1),100.0% (1),16.7% (18),100.0% (1)
per_class_accuracy,gpt-5.4 L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6% (37),0.0% (1),100.0% (1),16.7% (18),100.0% (1)
per_class_accuracy,gpt-5.4 L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0% (35),0.0% (0),0.0% (0),16.7% (18),100.0% (1)
per_class_accuracy,gpt-5.4 L4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0% (2),0.0% (1),0.0% (0),0.0% (0),0.0% (0)
per_class_accuracy,gpt-5.4 L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0% (2),0.0% (1),0.0% (0),0.0% (0),0.0% (0)
